name,stuff,link,difficulty,tags,methods,tools
葱油黄瓜,黄瓜,https://www.bilibili.com/video/BV1954y1b7dv,简单,国宴菜,,一口大锅
午餐肉土豆锅,午餐肉、土豆、胡萝卜,https://www.bilibili.com/video/BV1gT4y1Q7R8,普通,,煮,一口大锅
餐蛋面,午餐肉、鸡蛋、方便面,https://www.bilibili.com/video/BV1pT4y1F7p5,简单,快手菜,煮,一口大锅
午餐肉饭团,午餐肉、米饭,https://www.bilibili.com/video/BV1v7411t7uS,简单,早餐,煎,一口大锅
鸡蛋煎午餐肉,午餐肉、鸡蛋,https://www.bilibili.com/video/BV1aK4y177Xm,简单,快手菜,煎,一口大锅
午餐肉米汉堡,午餐肉、米饭、鸡蛋、包菜,https://www.bilibili.com/video/BV1n5411U78R,简单,早餐,煎,一口大锅
午餐肉蛋饼,午餐肉、鸡蛋、面包,https://www.bilibili.com/video/BV1d34y1X7A5,简单,早餐,煎,一口大锅
午餐肉薯条,午餐肉、鸡蛋,https://www.bilibili.com/video/BV1ti4y1f7nE,简单,零食,炸,空气炸锅
午餐肉串,午餐肉,https://www.bilibili.com/video/BV1MF411t7Ba,简单,零食,炸,空气炸锅
拍辣椒炒午餐肉,午餐肉,https://www.bilibili.com/video/BV1K4411Z7do,简单,家常菜,炒,一口大锅
午餐肉蛋炒饭,午餐肉、鸡蛋、米饭,https://www.bilibili.com/video/BV1HE411X7xR,普通,,炒,一口大锅
蒜香鸡翅,鸡翅,https://www.bilibili.com/video/BV1sy4y1273W,普通,,煎,一口大锅
椒盐鸡翅,鸡翅,https://www.bilibili.com/video/BV1HK4y1o77T,简单,,煎,一口大锅
肯德基炸鸡翅,鸡翅,https://www.bilibili.com/video/BV1A7411u7Ji,普通,肯德基同款,炸,一口大锅
名古屋鸡翅,鸡翅,https://www.bilibili.com/video/BV1ET4y1A7Xd,普通,日式,炸,一口大锅
烤箱版吮指鸡翅,鸡翅、土豆,https://www.bilibili.com/video/BV12W411A7w8,普通,,烤,烤箱
烤箱版橙香鸡翅,鸡翅,https://www.bilibili.com/video/BV1Mb4y1Q7DU,简单,,烤,烤箱
电饭煲版卤鸡翅,鸡翅,https://www.bilibili.com/video/BV1UK4y1Y7aC,简单,,卤,电饭煲
豉油鸡翅,鸡翅,https://www.bilibili.com/video/BV1vz4y1d775,普通,茶餐厅,煮,一口大锅
葱油焖鸡翅,鸡翅、洋葱、菌菇,https://www.bilibili.com/video/BV1uP4y1P7oQ,普通,,煎,一口大锅
番茄鸡翅焖锅,鸡翅、胡萝卜、土豆、洋葱,https://www.bilibili.com/video/BV1Ap4y147Ac,普通,,煮,一口大锅
芹菜炒肉,猪肉、芹菜,https://www.bilibili.com/video/BV1v7411T7is,简单,下饭,炒,一口大锅
肉末土豆,猪肉、土豆,https://www.bilibili.com/video/BV1ZS4y127wm,简单,下饭,炒,一口大锅
干锅土豆五花肉,猪肉、土豆、洋葱,https://www.bilibili.com/video/BV1CV411W7AD,简单,下饭,炒,一口大锅
胡萝卜炒肉,猪肉、胡萝卜,https://www.bilibili.com/video/BV1Ff4y1x7FX,简单,下饭,炒,一口大锅
红烧肉,猪肉,https://www.bilibili.com/video/BV1vk4y127ZB,简单,下饭,煮,一口大锅
糖醋里脊,猪肉,https://www.bilibili.com/video/BV1Dt411B78h,普通,,炸,一口大锅
水煮肉片,猪肉、芹菜、莴笋,https://www.bilibili.com/video/BV1ZZ4y1379N,普通,川菜,炒,一口大锅
包菜五花肉,猪肉、包菜,https://www.bilibili.com/video/BV1La411F7H4,普通,,炒,一口大锅
电饭煲版香卤牛肉,牛肉,https://www.bilibili.com/video/BV1dR4y1F7H2,简单,卤味,煮,电饭煲
香菜拌牛肉,牛肉,https://www.bilibili.com/video/BV1144y1n7ZV,简单,凉菜,凉拌,一口大锅
烧汁牛肉粒,牛肉、洋葱、菌菇,https://www.bilibili.com/video/BV1NU4y1d7ot,普通,国宴菜,炒,一口大锅
番茄土豆炖牛腩,牛肉、土豆、番茄、洋葱,https://www.bilibili.com/video/BV1344y1n73V,普通,下饭,煮,一口大锅
照烧牛肉,牛肉,https://www.bilibili.com/video/BV1mq4y1x7o3,普通,,炒,一口大锅
清炖牛肉,牛肉、白萝卜,https://www.bilibili.com/video/BV1CL4y1n76E,普通,,炖,一口大锅
滑蛋牛肉,牛肉、鸡蛋,https://www.bilibili.com/video/BV12u411Z72s,简单,,炒,一口大锅
法式胡萝卜炖牛肉,胡萝卜、牛肉、洋葱,https://www.bilibili.com/video/BV1UR4y1V7nV,困难,,炖,一口大锅
孜然土豆牛肉,牛肉、土豆,https://www.bilibili.com/video/BV1qX4y1T7ax,普通,,炒,一口大锅
番茄土豆牛腩饭,牛肉、土豆、番茄、胡萝卜、米饭,https://www.bilibili.com/video/BV1La411i73b,普通,,煮,一口大锅
清汤面,面条、鸡蛋,https://www.bilibili.com/video/BV1Yb411T7ED,简单,懒人,煮,一口大锅
番茄浓汤面,面条、番茄、鸡蛋,https://www.bilibili.com/video/BV1P54y1H7oG,简单,懒人,煮,一口大锅
茄汁汤面,面条、番茄、鸡蛋,https://www.bilibili.com/video/BV1Z7411G7AW,简单,懒人,煮,一口大锅
酸汤面,面条、鸡蛋,https://www.bilibili.com/video/BV1kP4y1T7wW,简单,懒人,煮,一口大锅
阳春面,面条,https://www.bilibili.com/video/BV11E411C7e7,简单,,煮,一口大锅
葱油拌面,面条,https://www.bilibili.com/video/BV1H7411c7Xe,简单,,拌,一口大锅
煎蛋焖面,面条、鸡蛋,https://www.bilibili.com/video/BV1d54y1v7JE,简单,,煮,一口大锅
番茄肉酱面,面条、番茄、猪肉,https://www.bilibili.com/video/BV1Cm4y1Q7RS,简单,,拌,一口大锅
biangbiang面,面条,https://www.bilibili.com/video/BV1844y157GL,简单,,油泼,一口大锅
醋卤面,面条、猪肉,https://www.bilibili.com/video/BV1XC4y1p7Yn,普通,,拌,一口大锅
陈氏醋卤面,面条、猪肉,https://www.bilibili.com/video/BV1tQ4y1M76f,普通,家传秘方,拌,一口大锅
电饭煲蜜汁鸡翅,鸡翅,https://www.bilibili.com/video/BV1dj411f7sR,简单,懒人,,电饭煲
电饭煲版一只番茄饭,土豆、胡萝卜、香肠、番茄、鸡蛋、米饭,https://www.bilibili.com/video/BV1dj411f7sR,简单,懒人,,电饭煲
香软蛋糕,鸡蛋,https://www.bilibili.com/video/BV1dj411f7sR,简单,懒人,,电饭煲
电饭煲版香菇腊肠焖饭,腊肠、菌菇、洋葱、米饭,https://www.bilibili.com/video/BV1Bv411C7X3,简单,懒人,,电饭煲
电饭煲版土豆排骨焖饭,猪肉、土豆、米饭,https://www.bilibili.com/video/BV1Bv411C7X3,简单,懒人,,电饭煲
